AAL,https://upload.wikimedia.org/wikipedia/en/2/23/American_Airlines_logo_2013.svg
AAPL,https://upload.wikimedia.org/wikipedia/commons/f/fa/Apple_logo_black.svg
ADBE,https://upload.wikimedia.org/wikipedia/commons/7/7b/Adobe_Systems_logo_and_wordmark.svg
ADI,https://upload.wikimedia.org/wikipedia/commons/8/86/Analog_Devices_Logo.svg
ADP,https://upload.wikimedia.org/wikipedia/en/c/cf/Automatic_Data_Processing_%28logo%29.svg
ADSK,https://upload.wikimedia.org/wikipedia/commons/b/b5/Autodesk_Logo.svg
AKAM,https://upload.wikimedia.org/wikipedia/commons/8/8b/Akamai_logo.svg
ALXN,https://upload.wikimedia.org/wikipedia/en/9/9e/Alexion_Pharmaceuticals_logo.svg
AMAT,https://upload.wikimedia.org/wikipedia/en/7/7e/Applied_Materials_Inc._Logo.svg
AMGN,https://upload.wikimedia.org/wikipedia/commons/a/ab/Amgen.svg
AMZN,https://upload.wikimedia.org/wikipedia/commons/7/70/Amazon_logo_plain.svg
ATVI,https://upload.wikimedia.org/wikipedia/commons/6/6e/Activision_Blizzard_logo.svg
AVGO,https://upload.wikimedia.org/wikipedia/en/8/8f/Low_Resolution_bitmap_of_a_company_for_fair_use.png
BIDU,https://upload.wikimedia.org/wikipedia/en/f/f4/Baidu.svg
BIIB,https://upload.wikimedia.org/wikipedia/en/b/bc/Biogen.svg
BMRN,https://upload.wikimedia.org/wikipedia/en/f/f8/Biomarin-logo.png
CA,https://upload.wikimedia.org/wikipedia/commons/0/08/CA_Technologies_logo.svg
CELG,https://upload.wikimedia.org/wikipedia/en/b/ba/Celgene-logo.png
CERN,https://upload.wikimedia.org/wikipedia/en/3/3f/2011.Cerner.logo.png
CHKP,https://upload.wikimedia.org/wikipedia/en/6/67/Check_point_logo.png
CHTR,https://upload.wikimedia.org/wikipedia/en/c/c8/Charter_Communications_logo.svg
CMCSA,https://upload.wikimedia.org/wikipedia/commons/a/a3/Comcast_Logo.svg
COST,https://upload.wikimedia.org/wikipedia/commons/0/0e/Costco_Wholesale.svg
CSCO,https://upload.wikimedia.org/wikipedia/commons/6/64/Cisco_logo.svg
CSX,https://upload.wikimedia.org/wikipedia/commons/f/fe/CSX_transp_logo.svg
CTAS,https://upload.wikimedia.org/wikipedia/commons/8/8e/Cintas_logo.svg
CTRP,https://upload.wikimedia.org/wikipedia/commons/c/c8/Ctrip-logo-h-default-lg.png
CTSH,https://upload.wikimedia.org/wikipedia/en/d/dc/Cognizant_LOGO.png
CTXS,https://upload.wikimedia.org/wikipedia/commons/2/2e/Citrix.svg
DISCA,https://upload.wikimedia.org/wikipedia/en/c/c7/Discovery_Communications.svg
DISH,https://upload.wikimedia.org/wikipedia/commons/1/1e/Dish_Network_logo_2012.svg
DLTR,https://upload.wikimedia.org/wikipedia/en/d/d8/Dollar_Tree_logo.png
EA,https://upload.wikimedia.org/wikipedia/commons/0/0d/Electronic-Arts-Logo.svg
EBAY,https://upload.wikimedia.org/wikipedia/commons/1/1b/EBay_logo.svg
ESRX,https://upload.wikimedia.org/wikipedia/en/a/a4/Express_Scripts_logo.svg
EXPE,https://upload.wikimedia.org/wikipedia/en/4/42/Expedia_logo.svg
FAST,https://upload.wikimedia.org/wikipedia/commons/9/99/Fastenal_Logo_blk_hi-res.jpg
FB,https://upload.wikimedia.org/wikipedia/commons/7/7c/Facebook_New_Logo_%282015%29.svg
FISV,https://upload.wikimedia.org/wikipedia/commons/8/89/Fiserv_logo.svg
FOX,https://upload.wikimedia.org/wikipedia/commons/5/5f/21st_Century_Fox_logo.svg
GILD,https://upload.wikimedia.org/wikipedia/en/5/56/Gilead_Sciences_Logo.svg
GOOG,https://upload.wikimedia.org/wikipedia/commons/7/7a/Alphabet_Inc_Logo_2015.svg
GOOGL,https://upload.wikimedia.org/wikipedia/commons/7/7a/Alphabet_Inc_Logo_2015.svg
HAS,https://upload.wikimedia.org/wikipedia/en/7/79/Hasbro.png
HOLX,https://upload.wikimedia.org/wikipedia/en/1/1f/Hologiclogo.jpg
HSC,https://upload.wikimedia.org/wikipedia/en/1/13/Henry_Schein.svg
IDXX,https://upload.wikimedia.org/wikipedia/en/a/ac/IDEXX_Labs.svg
ILMN,https://upload.wikimedia.org/wikipedia/commons/a/a9/Illumina_%28company%29_logo.jpg
INCY,https://i.forbesimg.com/media/lists/companies/incyte_416x416.jpg
INTC,https://upload.wikimedia.org/wikipedia/commons/c/c9/Intel-logo.svg
INTU,https://upload.wikimedia.org/wikipedia/commons/a/ae/Intuit_Logo.svg
ISRG,https://www.intuitivesurgical.com/landing/images/Intuitive_Logo.svg
JBHT,https://upload.wikimedia.org/wikipedia/en/e/e4/J_B_Hunt_Logo.jpg
JD,https://upload.wikimedia.org/wikipedia/en/7/79/JD_logo.png
KHC,https://upload.wikimedia.org/wikipedia/commons/5/55/KraftHeinz.svg
KLAC,https://upload.wikimedia.org/wikipedia/en/6/63/KLA-Tencor_logo.jpg
LBTYA,https://upload.wikimedia.org/wikipedia/en/c/cd/Liberty_Global.png
LRCX,https://upload.wikimedia.org/wikipedia/en/a/ac/Lam_Research_logo.svg
LVNTA,https://upload.wikimedia.org/wikipedia/en/8/87/Liberty_Interactive_logo.gif
MAR,https://upload.wikimedia.org/wikipedia/en/4/4e/MarriottInternational.svg
MAT,https://upload.wikimedia.org/wikipedia/commons/6/6a/Mattel-brand.svg
MCHP,https://upload.wikimedia.org/wikipedia/en/9/92/MicrochipTechnology_Logo.png
MDLZ,https://upload.wikimedia.org/wikipedia/en/2/2c/Mondelez_International_logo.png
MELI,https://upload.wikimedia.org/wikipedia/en/3/36/Mercado_libre_logo.png
